Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
578,4999454,6 Bed Mixed Dorm at Sukhumvit area,22869250,Eve,Khlong Toei,13.72034,100.57242,Shared room,510,1,3,2018-04-07,0.03,7,0,0
581,4252589,"Q Asoke Condo Luxury One-Bedroom, Near BTS/MRT",22068913,Ongarj,Ratchathewi,13.74859,100.56293,Entire home/apt,1300,30,0,,0.0,1,363,0
583,4252695,Modern/Cozy 1BR Apt downtown BKK,22069649,Tanapati,Vadhana,13.74387,100.57068,Entire home/apt,2390,1,5,2015-05-05,0.05,1,179,0
584,4264452,Bright studio - 7 min BTS S'Taksin,2129668,Wimonpak,Sathon,13.71349,100.51437,Entire home/apt,850,200,79,2019-12-25,0.79,41,365,0
585,4790120,An empty room for budget travellers,24690333,Natapol,Sathon,13.71498,100.51263,Private room,399,1,0,,0.0,1,365,0
586,4794241,Modern 1BD with pool-great location,1780407,Feb,Khlong Toei,13.71418,100.59224,Entire home/apt,990,30,27,2022-11-02,0.29,6,273,4
591,4265987,"New, large & 5 mins walk to bts",22145270,Little,Khlong Toei,13.71659,100.58119,Entire home/apt,950,60,27,2022-11-26,0.37,2,301,4
592,4270543,"2BR,200m from mrt,near Chatuchak",22079219,Phern,Huai Khwang,13.79977,100.575,Entire home/apt,617,30,54,2019-12-19,0.55,1,289,0
601,5016431,Modern condo in Sathon/ Silom,12637466,David,Sathon,13.72033,100.5299,Entire home/apt,3587,1,12,2022-12-18,0.13,1,347,2
602,4825297,2 BR Apart near Bangkok Skytrain,24844970,Bertrand,Khlong Toei,13.70754,100.59274,Entire home/apt,1650,4,27,2018-12-23,0.28,1,173,0
607,5418981,SKY LINE CBD (Sathorn)Apartment 34 Sq.m,28093266,Kornpat,Sathon,13.71246,100.53385,Entire home/apt,3151,28,3,2022-08-27,0.37,2,226,3
612,4857224,BED STATION Hostel,24987548,BED STATION Hostel,Ratchathewi,13.75183,100.53207,Shared room,450,1,14,2019-09-14,0.14,3,365,0
613,4857716,Good Day 6 Bunk Beds Dorm room B,7472382,Chatri,Ratchathewi,13.75191,100.53677,Shared room,416,1,41,2022-12-06,0.44,10,365,1
